,card,rating
0,1,3.0
1,2,1.0
2,3,3.0
3,4,1.0
4,5,1.0
5,6,1.0
6,7,3.0
7,8,1.0
8,9,2.0
9,12,1.0
10,16,2.0
11,17,3.0
12,19,3.0
13,21,1.0
14,24,1.0
15,25,1.0
16,26,3.0
17,28,1.0
18,29,2.0
19,30,2.0
20,33,1.0
21,35,1.0
22,44,3.0
23,46,2.0
24,50,2.0
25,54,3.0
26,61,1.0
27,89,2.0
28,90,2.0
29,104,2.0
30,105,1.0
31,118,2.0
32,119,2.0
33,133,1.0
34,151,1.0
35,152,2.0
36,157,1.0
37,178,1.0
38,189,1.0
39,199,1.0
40,203,1.0
41,261,1.0
42,279,1.0
43,282,3.0
44,297,1.0
45,305,1.0
46,306,3.0
47,311,1.0
48,348,2.0
49,364,1.0
50,366,1.0
51,370,1.0
52,387,1.0
53,413,2.0
54,414,1.0
55,417,2.0
56,446,1.0
57,448,1.0
58,450,1.0
59,459,3.0
60,460,3.0
